"id","ean","nombre","descripcion","imagen","precio","precio_con_descuento","departamento","categoria","subcategoria"
"2c2abefb-56a5-4ea2-a3b3-e2268f4227ef","0707273531124",Cerveza Trooper British Ale Box 3 Latas + Vaso,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw31c729d4/images/product/0707273531124_A.jpg?sw=445&sh=445&sm=fit,$324.90,$0.00,"Vinos, licores y cervezas",Cerveza,Importada
b07f304f-c37a-4e7e-a99c-263dcc3bfd3a,"7501064196935",Cerveza Negra Modelo Munich Dunkel 6 Pack Lata de 355 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwe43e6390/images/product/7501064196935_A.jpg?sw=445&sh=445&sm=fit,$119.00,$0.00,"Vinos, licores y cervezas",Cerveza,Importada
"7248424b-203d-428b-9e52-aad70e0ba9e2","0070821203041",Pan Blanco Holsum 567 Gr Pz,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw551150d2/images/product/0070821203041_A.jpg?sw=445&sh=445&sm=fit,$24.50,$0.00,Despensa,Panes y pastelillos,Pan de caja
"3ba6a7d2-88f0-485a-bd57-11a69d1c88d0","0011210001527",Tabasco Bloody Mary Extra Spicy 946 Ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw7bb6b931/images/product/0011210001527_A.jpg?sw=445&sh=445&sm=fit,$190.00,$0.00,"Vinos, licores y cervezas",Mezcladores,Mezcladores
"42782c0b-cdac-4b5a-8aa1-ba614b66ad70","7503006575112",Crema de Coco Calahua La Original 1 L,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw69e7d9ab/images/product/7503006575112_A.jpg?sw=445&sh=445&sm=fit,$71.90,$0.00,"Vinos, licores y cervezas",Mezcladores,Mezcladores
b71d8139-ee85-470a-8488-d6d9c83a770c,"0636817024252",Salsa Zaaschila Cremosa Habanero 425 Gr Botella,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwac19313d/images/product/0636817024252_A.jpg?sw=445&sh=445&sm=fit,$44.80,$0.00,Despensa,"Aderezos, salsas y vinagres",Salsa picante
"1925ebcf-f77a-422b-bca0-ad647a74843b","7501017044795",Salsa La Costeña Casera Mexicana Botella 450 Gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw681633a4/images/product/7501017044795_A.jpg?sw=445&sh=445&sm=fit,$31.50,$0.00,Despensa,"Aderezos, salsas y vinagres",Salsa picante
"69755d1c-208c-4fd4-9d14-794623af193f","7501017044993",Salsa Arriera La Costeña 450 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw0003cbc0/images/product/7501017044993_A.jpg?sw=445&sh=445&sm=fit,$31.50,$0.00,Despensa,"Aderezos, salsas y vinagres",Salsa picante
d66e76d6-06ab-4521-92dd-44e1cf88cc18,"7500478024599",Cacahuate tostado sin sal Mafer 180 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwc60d9cb4/images/product/7500478024599_A.jpg?sw=445&sh=445&sm=fit,$43.00,$0.00,Despensa,Botanas y tostadas,Cacahuates
"9b8922fd-d04f-43aa-8648-2a7d68eadb59","7502222650139",Esponja Lustradora de Calzado Neutral,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw80e85d33/images/product/7502222650139_A.jpg?sw=445&sh=445&sm=fit,$26.90,$0.00,Limpieza del hogar,Limpiadores,Limpieza y cuidado del calzado
b500c34a-ac5d-4a63-bff0-7cf8763eff7e,"7501151010014",Tequila 7 Leguas Blanco 1 l,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw1cd8e24b/images/product/7501151010014_A.jpg?sw=445&sh=445&sm=fit,$965.00,$0.00,"Vinos, licores y cervezas",Destilados y licores,Tequila
"933dc4d1-a493-4c89-81f1-c30a1ba2b4d6","0034223346898",Hielera 90 Qts. Maxcold Latitude Con Ruedas Jet Carbon Igloo,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwb74d3a3e/images/product/0034223346898_A.jpg?sw=445&sh=445&sm=fit,"$2,199.00",$0.00,Deportes y Motos,Hieleras,Hieleras
"50ea6438-df8b-4b1f-85ba-f4a407924b54","7506306317321",Caldillo de Tomate 100% Natural Knorr 500 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwf7062a25/images/product/7506306317321_A.jpg?sw=445&sh=445&sm=fit,$33.50,$0.00,Despensa,Especias y sazonadores,Consomés
e5bab2e6-eaea-4605-b025-91f8f56ea6cb,"0076501171181",Hielera 48 Qt Coleman Ocean Azul,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw3c481146/images/product/0076501171181_A.jpg?sw=445&sh=445&sm=fit,"$1,499.00",$0.00,Deportes y Motos,Hieleras,Hieleras
"2eb713b7-b366-419f-8079-e6622161b0cd","7501003108630",Puré condimentado del Fuerte + Pasta Barilla,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw353c687c/images/product/7501003108630_A.jpg?sw=445&sh=445&sm=fit,$36.00,$0.00,Despensa,"Cremas, sopas y purés",Puré de tomate
"8f93e65d-64e5-4361-ad02-860de3f48ce9","7500478030026",Cacahuate Japones Karate 170 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw2a9a7f62/images/product/7500478030026_A.jpg?sw=445&sh=445&sm=fit,$25.50,$0.00,Despensa,Botanas y tostadas,Cacahuates
d34988ce-7b3b-41df-849a-8296ce1d1e99,"8437000252054",Fabada Asturiana Laurel Artesanal 420 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwa29e680c/images/product/08437000252054-A.jpg?sw=445&sh=445&sm=fit,$210.90,$0.00,"Queso, salchichas y deli",Gourmet,Enlatados y conservas gourmet
"6a9ef3df-4f03-467d-bceb-7959630bf479","7501011132139",Cacahuate japonés tostado clásico Mafer 180 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw5393015b/images/product/7501011132139_A.jpg?sw=445&sh=445&sm=fit,$41.90,$0.00,Despensa,Botanas y tostadas,Cacahuates
"79d1e5fc-304c-4bb7-948b-10ff383b9744","7501008499313",Tabcin Active c/12 cap,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw5f2ad192/images/product/7501008499313_A.jpg?sw=445&sh=445&sm=fit,$84.90,$0.00,Farmacia,Respiratorios,Respiratorios
c5dd8b16-837a-4722-a885-d220d3eb06d4,"7501048000203",Imperial Polvo De Hornear 100 Gr Bot,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwd35d4831/images/product/7501048000203_A.jpg?sw=445&sh=445&sm=fit,$17.50,$0.00,Despensa,Harinas y repostería,Saborizantes
"7daaca8a-1a9e-4217-b3bb-ae7536b5e238","5056142607732",Te de Noche Protein World 28 Bolsas 1.61 gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw4e752b90/images/product/5056142607732_A.jpg?sw=445&sh=445&sm=fit,$524.00,$0.00,Farmacia,Vitaminas y suplementos,Complementos y suplementos
"2a34dc13-ae27-4a41-8942-818e9e68ada5","7501032907297",Discos Activos Para Baño Mr Músculo Lima Fresca 1 Pza,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw64749743/images/product/7501032907297_A.jpg?sw=445&sh=445&sm=fit,$53.50,$0.00,Limpieza del hogar,WC,WC
"79c779c6-e10f-4881-b0b5-124ab7215c35","8429420196377",Isdin Fotop Fusion Water Pediatric 50 Ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw6363a521/images/product/8429420196377_A.jpg?sw=445&sh=445&sm=fit,$689.00,$0.00,Farmacia,Dermatológicos,Bloqueadores solares
"0b0459ef-86c4-48e6-a52f-6ceecf392c65","0744607007023",Tequila Antiguo Cristinalino De Herradura 700 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwff2b0427/images/product/0744607007023_A.jpg?sw=445&sh=445&sm=fit,$585.00,$0.00,"Vinos, licores y cervezas",Destilados y licores,Tequila
bb82ece9-e9a2-4c77-8d98-fc980c15211f,"7506250932328",Cable USB 3 en 1 Steren USB-399,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw1e766cf0/images/product/7506250932328_A.jpg?sw=445&sh=445&sm=fit,$199.00,$0.00,Electrónica,Accesorios de telefonía,Cables
"62247c7b-4be2-4712-9b15-7e0c78b653ea","7503024568035",Cerveza Flaco Adorado Belgian Blonde Botella de 355 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw40fc1b3a/images/product/7503024568035_A.jpg?sw=445&sh=445&sm=fit,$43.00,$0.00,"Vinos, licores y cervezas",Cerveza,Clara
"83193afd-4ef8-4680-9662-c09e6e0dbfb6","7501214100249",Arroz Diamante Grano Largo 450 Gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw584236d2/images/product/7501214100249_A.jpg?sw=445&sh=445&sm=fit,$16.90,$0.00,Despensa,"Arroz, frijol y semillas",Arroz
"7de9cada-269d-44db-99cc-b1024b449770","7506425627653",Servitoalla Petalo Decorada 160 hojas 1 rollo,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwd54e692b/images/product/7506425627653_4.jpg?sw=445&sh=445&sm=fit,$21.90,$0.00,Limpieza del hogar,Productos de papel para el hogar,Toallas de papel
"76babc5d-9c33-4c3f-86c1-6d898b6b8242","7501053149324",Vino Tinto Mexicano Puerto Nuevo Cabernet Malbec 750 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwec2e6912/images/product/7501053149324_A.jpg?sw=445&sh=445&sm=fit,$119.00,$0.00,"Vinos, licores y cervezas",Vinos,Vino tinto
"111c6cb7-8164-489e-afda-b815b4a792af","7791728001761",Vino Tinto Argentino Santa Julia Magna 750 Malbec 750ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dweab6c8eb/images/product/7791728001761_A.jpg?sw=445&sh=445&sm=fit,$349.00,$0.00,"Vinos, licores y cervezas",Vinos,Vino tinto
d2ebdcde-e8fc-4953-a86f-23fb04aec172,"8410744011071",Vino Tinto Español Knock Knock Caperucita Tinta Red Tempranillo 750ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwe5986d49/images/product/8410744011071_A.jpg?sw=445&sh=445&sm=fit,$125.00,$0.00,"Vinos, licores y cervezas",Vinos,Vino tinto
"2b8a0076-e556-43dc-b24b-fa99726cf5c9","7500525500175",Arroz Valley Foods súper extra 900 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw02d7ac17/images/product/7500525500175_A.jpg?sw=445&sh=445&sm=fit,$20.50,$0.00,Despensa,"Arroz, frijol y semillas",Arroz
db2f9cbc-e8bd-4ed1-911c-73e7864522a1,"7503020491382",Granola La Fuente 250 Gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dweda13f56/images/product/7503020491382_A.jpg?sw=445&sh=445&sm=fit,$90.00,$0.00,Despensa,"Cereales, barras y avenas",Avena y granola
"94f67cc6-44e5-4252-bffe-78b6da667911","7502219838663",Jugo Jugo Orgánico Aires De Campo 470 Mililitro Pieza,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw5f72ae1c/images/product/7502219838663_A.jpg?sw=445&sh=445&sm=fit,$48.90,$0.00,Despensa,Orgánicos,Orgánicos
"6b3d8941-ac62-4dca-bce0-605257425991","7501409056054",Montable Mini-Taurus My-5605,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwb59dc6b2/images/product/7501409056054_A.jpg?sw=445&sh=445&sm=fit,"$2,199.00",$0.00,Juguetes,Diversión fuera de casa,Montables
e358f0e9-ca21-4715-bfa1-0ef787e1bfef,"7502248757171",Motofeber Distroller Feber,"",,$818.00,$0.00,Juguetes,Diversión fuera de casa,Montables
e9821b03-2f8e-443a-9aa4-dfd86f706293,"0656676010043",Vino Blanco Mexicano Monte Xanic Chenin Colombard Chenin Blanc 750ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw3245d43d/images/product/0656676010043_A.jpg?sw=445&sh=445&sm=fit,$450.00,$0.00,"Vinos, licores y cervezas",Vinos,Vino blanco
bcaa19a5-95d5-477b-8913-344f728c9103,"0033844004934",Badia Mezcla De Pimientas  Badia 56.7 G,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwab1283a2/images/product/0033844004934_A.jpg?sw=445&sh=445&sm=fit,$105.00,$0.00,Despensa,Especias y sazonadores,Condimentos y especias
c9976f94-326c-40ee-a47a-0822cb8e09d5,"5740900401457",Mantequilla Lurpak Untable Sin Sal 250 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw29202fa1/images/product/5740900401457_A.jpg?sw=445&sh=445&sm=fit,$100.00,$0.00,Lácteos y huevo,Mantequilla y margarina,Mantequilla
"4a1047f6-18f5-4ed5-93de-2ba9d629d5cb","7503019955246",Carne Seca El Hormigazo 250 gr,"",,$208.00,$0.00,"Queso, salchichas y deli",Salchichonería,Carne seca
"996a43b6-4087-4a6f-b0d2-87844fff04b8","0044774040046",Mole Rogelio Bueno 126 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw18204ff9/images/product/0044774040046_A.jpg?sw=445&sh=445&sm=fit,$16.90,$0.00,Despensa,Especias y sazonadores,Mole y adobo
